Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1961373,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-09-08
TXN_4977031,Cake,4,3.0,12.0,Cash,In-store,2023-05-16
TXN_4271903,Cookie,4,1.0,ERROR,Credit Card,In-store,2023-07-19
TXN_7034554,Salad,2,5.0,10.0,UNKNOWN,UNKNOWN,2023-04-27
TXN_3160411,Coffee,2,2.0,4.0,Digital Wallet,In-store,2023-06-11
TXN_2602893,Smoothie,5,4.0,20.0,Credit Card,,2023-03-31
TXN_4433211,UNKNOWN,3,3.0,9.0,ERROR,Takeaway,2023-10-06
TXN_6699534,Sandwich,4,4.0,16.0,Cash,UNKNOWN,2023-10-28
TXN_4717867,,5,3.0,15.0,,Takeaway,2023-07-28
TXN_2064365,Sandwich,5,4.0,20.0,,In-store,2023-12-31
TXN_2548360,Salad,5,5.0,25.0,Cash,Takeaway,2023-11-07
TXN_3051279,Sandwich,2,4.0,8.0,Credit Card,Takeaway,ERROR
TXN_7619095,Sandwich,2,4.0,8.0,Cash,In-store,2023-05-03
TXN_9437049,Cookie,5,1.0,5.0,,Takeaway,2023-06-01
TXN_8915701,ERROR,2,1.5,3.0,,In-store,2023-03-21
TXN_2847255,Salad,3,5.0,15.0,Credit Card,In-store,2023-11-15
TXN_3765707,Sandwich,1,4.0,4.0,,,2023-06-10
TXN_6769710,Juice,2,3.0,6.0,Cash,In-store,2023-02-24
TXN_8876618,Cake,5,3.0,15.0,Cash,ERROR,2023-03-25
TXN_3709394,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-15
TXN_3522028,Smoothie,ERROR,4.0,20.0,Cash,In-store,2023-04-04
TXN_3567645,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-03-30
TXN_5132361,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
TXN_2616390,Sandwich,2,4.0,8.0,,,2023-09-18
TXN_9400181,Sandwich,5,4.0,20.0,Cash,In-store,2023-06-03
TXN_7958992,Smoothie,3,4.0,,UNKNOWN,UNKNOWN,2023-12-13
TXN_5183041,Cookie,5,1.0,5.0,Credit Card,In-store,2023-04-20
TXN_5695074,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-04-10
TXN_8467949,Smoothie,5,4.0,20.0,Credit Card,,2023-03-11
TXN_7640952,Cake,4,3.0,12.0,Digital Wallet,Takeaway,ERROR
TXN_1736287,,5,2.0,10.0,Digital Wallet,,2023-06-02
TXN_8927252,UNKNOWN,2,1.0,ERROR,Credit Card,ERROR,2023-11-06
TXN_9677376,Smoothie,4,4.0,16.0,,In-store,2023-08-15
TXN_7710508,UNKNOWN,5,1.0,5.0,Cash,,ERROR
TXN_8853997,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
TXN_9130559,Sandwich,1,4.0,4.0,Credit Card,UNKNOWN,2023-05-28
TXN_6855453,UNKNOWN,4,3.0,12.0,,In-store,2023-07-17
TXN_1080432,Salad,2,5.0,10.0,Credit Card,In-store,2023-04-29
TXN_2655815,Smoothie,4,4.0,16.0,,Takeaway,2023-06-08
TXN_6688524,Coffee,4,2.0,8.0,ERROR,,2023-06-29
TXN_2083138,Smoothie,3,4.0,12.0,,In-store,2023-04-17
TXN_2427584,Sandwich,4,4.0,16.0,,Takeaway,2023-12-22
TXN_6650263,Tea,2,1.5,UNKNOWN,,Takeaway,2023-01-10
TXN_9620080,Juice,4,3.0,12.0,,Takeaway,2023-10-02
TXN_1491578,Cookie,2,1.0,2.0,,,2023-02-23
TXN_5455792,Salad,3,5.0,15.0,Cash,,2023-03-22
TXN_8078640,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-11-03
TXN_9499313,Juice,5,3.0,15.0,,,2023-03-02
TXN_8201146,Juice,5,3.0,15.0,Cash,,2023-06-26
TXN_8230936,Cake,3,3.0,9.0,,ERROR,2023-05-02
TXN_7742742,Cake,5,3.0,15.0,,Takeaway,2023-09-05
